timestamp,type,title,description
1537261901,member-join,"Вердиналь joined Ясный Лес",
1537261901,member-join,"Чудобинт joined Ясный Лес",
1537128401,member-join,"Кханан joined Ясный Лес",
1537128401,member-join,"Зимсар joined Ясный Лес",
1537128401,member-join,"Клинок joined Ясный Лес",
1537091700,achievement,"Гнев Дракона, вечный покой Таресгосы (гильдия)","Владелец Гнева Дракона, вечного покоя Таресгосы."
1537010880,achievement,"Тори'дал, Звездная Ярость (гильдия)","Владелец Тори'дала, Звездной Ярости."
1536811140,achievement,"Спустить семь шкур","Снимите шкуру с 50000 существ."
